hVD GTC	一代
ILC QfC	路線
ILC dGN	路軌
ILC DfC	路面
GhA GAB	跳動
GhA AdB	跳板
GhA bwA	跳繩
GhA DKB	跳舞
GhA NkB	跳蚤
GhA lpD	跳躍
GqD CLC	踱步
NDA hsB	蹤影
lpD awA	躍升
aVA AVE	身份
aVA dnC	身價
aVA NHB	身子
aVA lwC	身孕
aVA jvA	身形
aVA hsB	身影
aVA Q1A	身心
aVA PTA	身材
aVA GcK	身段
aVA eKA	身軀
aVA AgA	身邊
aVA FMB	身體
eKA dcC	軀幹
eKA FMB	軀體
YoA BiC	車票
YoA GkB	車道
YoA GSK	車隊
dGN NuD	軌跡
dGN GkB	軌道
dXI cVA	軍人
dXI GcI	軍團
dXI dcI	軍官
dXI DVA	軍民
dXI luI	軍營
dXI j7B	軍艦
dXI CZD	軍閥
dXI GSK	軍隊
cfJ daL	軟骨
LBD Q1A	軸心
CKB NlC	輔佐
CKB UJC	輔助
CKB GkC	輔導
CKB CNC	輔幣
iII hsC	輝映
iII jqI	輝煌
IVI eqL	輪廓
IVI IyA	輪流
IVI AdA	輪班
IVI FTA	輪胎
IVI bfI	輪船
aKA luA	輸贏
aKC QAC	輸送
JfJ jvA	轉型
JfJ jcK	轉換
JfJ JpC	轉賬
JfJ PTC	轉載
JfJ kXK	轉運
QVA fYA	辛勤
QVA QcI	辛酸
CeC jED	辦學
CeC A9D	辦法
CeC IHB	辦理
RHA XwD	辭職
RHA NkB	辭藻
CgB NHB	辮子
CfF XwC	辯證
CfF jLC	辯護
CfF AED	辯駁
HCA fKC	農具
HCA GGC	農地
HCA LpA	農場
HCA IvD	農曆
HCA OaI	農村
HCA g8D	農業
HCA DVA	農民
HCA GgA	農田
HCA SpA	農莊
HCA lpD	農藥
hKA CKB	迂腐
hKA jSI	迂迴
iYD d1E	迄今
QVC QAD	迅速
AZB jSI	返回
AZB LiA	返潮
jvJ cfA	迥然
ArD jOC	迫害
DMA IcK	迷亂
DMA cVA	迷人
DMA QVC	迷信
DMA dBA	迷宮
DMA DpB	迷惘
DMA IfK	迷戀
DMA jLA	迷糊
DMA DqA	迷茫
DMA ILC	迷路
AtC AZD	迸發
JGI R1A	追尋
JGI hwD	追憶
JGI CLC	追捕
JGI BDB	追捧
JGI dvD	追擊
JGI fyA	追求
JGI dyC	追究
JGI NDA	追蹤
JGI LBD	追逐
JGI RFI	追隨
FSK iyA	退休
FSK inK	退化
FSK jSI	退回
FSK jED	退學
FSK RuD	退席
FSK luL	退役
FSK ecJ	退款
FSK cfD	退熱
FSK VBD	退縮
FSK cpC	退讓
QAC CfH	送別
GkA DpA	逃亡
GkA DsC	逃命
GkA C9B	逃犯
GkA BjB	逃跑
GkA CFC	逃避
gsD dsB	逆境
QiA liA	逍遙
FzC dsC	透鏡
FzC ILC	透露
LBD HgA	逐年
LBD CLC	逐步
GLA cVA	途人
GLA dvC	途徑
XoB QoA	這些
XoB dlC	這個
XoB IHB	這裏
XoB DlB	這麼
FAA RDD	通俗
FAA QVC	通信/通訊
FAA AkC	通報
FAA QiA	通宵
FAA ZpA	通常
FAA KpC	通暢
FAA ihB	通曉
FAA lDC	通用
FAA JFA	通知
FAA jAA	通紅
FAA O1D	通緝
FAA JpC	通脹
FAA jRK	通話
FAA ilK	通貨
FAA FzC	通透
FAA GkB	通道
FAA ddI	通關
FAA GgC	通電
OkC BpC	造訪
IfA ddK	連串
IfA GAA	連同
IfA loC	連夜
IfA EOC	連帶
IfA DqA	連忙
IfA N4D	連接
IfA jdI	連環
IfA dgD	連結
IfA RDD	連續
IfA DNC	連袂
IfA d1E	連襟
IfA QlJ	連鎖
NVC ITA	進來
NVC c1D	進入
NVC inK	進化
NVC ezB	進口
NVC JfB	進展
NVC GLC	進度
NVC CLC	進步
NVC AZD	進發
NVC LuA	進程
NVC cHA	進而
NVC jrA	進行
NVC dAC	進貢
NVC dXI	進軍
NVC JKC	進駐
lKA fHA	逾期
lyA cVA	遊人
lyA jED	遊學
lyA erD	遊客
lyA IvD	遊歷
lyA gcK	遊玩
lyA GvB	遊艇
lyA dHC	遊記
lyA aNK	遊說
lyA IVI	遊輪
kXK GAB	運動
kXK jlA	運河
kXK luI	運營
kXK lDC	運用
kXK QcJ	運算
kXK LyA	運籌
kXK PTC	運載
kXK aKC	運輸
kXK QAC	運送
AgC f1H	遍及
AgC GGC	遍地
dlK eJC	過去
dlK OqD	過錯
hcD XNC	遏制
hcD hwX	遏抑
hcD XHB	遏止
jnA QpB	遐想
jnA cFB	遐邇
GkB fKC	道具
GkB UHB	道士
GkB dnA	道家
GkB ExD	道德
GkB IHB	道理
GkB gFG	道義
GkB CkA	道袍
GkB dcK	道觀
GkB RoC	道謝
GkB ILC	道路
kII INC	違例
kII A9D	違法
kII dFI	違規
QaK VwD	遜色
gkA lyA	遨遊
NkA ZyB	遭受
NkA gKC	遭遇
XoA h4F	遮掩
XoA EqC	遮擋
XoA ANC	遮蔽
LGA EkC	遲到
LGA NkB	遲早
LGA jcJ	遲緩
LGA GaK	遲鈍
NVI RVI	遵循
OfA PyC	遷就
OfA QFB	遷徙
OfA lFA	遷移
IhA ecL	遼闊
CFC DfF	避免
CFC fHC	避忌
CFC aJB	避暑
CFC HcC	避難
DRC NVC	邁進
jPC jzC	邂逅
AgA dsB	邊境
AgA dQC	邊界
AgA dpA	邊疆
AgA lfI	邊緣
AgA ZFI	邊陲
AgA NNC	邊際
IlC P1D	邏輯
RoA hqD	邪惡
djA gOK	郊外
djA lyA	郊遊
CzB ZJC	部署
CLB GSK	部隊
kyA ffF	郵件
kyA AjA	郵包
kyA B1F	郵品
kyA fDD	郵局
kyA XuC	郵政
kyA QpA	郵箱
kyA IVI	郵輪
kyA GMC	郵遞
ELA ZHB	都市
ipA OaI	鄉村
ipA h1E	鄉音
IVA aoB	鄰舍
XpD PuA	酌情
BSC ffF	配件
BSC CGG	配備
BSC ZyC	配售
BSC ESK	配對
BSC d1H	配給
BSC JHC	配置
BSC lpD	配藥
BSC XNC	配製
BSC dED	配角
BSC h1E	配音
BSC grD	配額
BSC awD	配飾
NyB dnA	酒家
NyB E5C	酒店
NyB ASA	酒杯
NyB IzA	酒樓
NyB NuA	酒精
NyB dcK	酒館
QLA ONK	酥脆
ZyA d1E	酬金
eCD jvA	酷刑
eCD hTC	酷愛
eCD aJB	酷暑
eCD cfD	酷熱
QcI QuC	酸性
QcI FAC	酸痛
NGK cVA	醉人
NGK Q1A	醉心
YyB IzC	醜陋
hHA jED	醫學
hHA VGA	醫師
hHA IiC	醫療
hHA lpD	醫藥
hHA jLC	醫護
MpC NyB	釀酒
auD cfA	釋然
IHB LuA	里程
LDA QVA	重新
LDA NLB	重組
LDA CyC	重複
LDB hiC	重要
LDB ZGC	重視
LDB IpC	重量
LDB E5B	重點
d1E dqA	金剛
d1E NHB	金子
d1E drJ	金礦
d1E CqD	金箔
d1E VwD	金色
d1E lBA	金融
d1E grD	金額
d1E awD	金飾
d1E jqI	金黃
EhC gJA	釣魚
IvA auA	鈴聲
lfI AVH	鉛筆
gVE gZI	銀元
gVE DqD	銀幕
gVE jrB	銀杏
gVE jlA	銀河
gVE VwD	銀色
gVE jqA	銀行
GAA RpB	銅像
GAA eGG	銅器
DvA DXA	銘文
QiA ZyC	銷售
dJC YHB	鋸齒
dqA f1E	鋼琴
dqA dYA	鋼筋
dqA FgD	鋼鐵
d1F HqA	錦囊
d1F IHB	錦鯉
OqD IcK	錯亂
OqD gLC	錯誤
dlI AnA	鍋巴
EcK IgC	鍛鍊
XDA PuA	鍾情
XDA hTC	鍾愛
etA OpA	鏗鏘
dsC NHB	鏡子
dsC BgC	鏡片
dsC GzA	鏡頭
XDA IzA	鐘樓
XDA GzA	鐘頭
FgD AdB	鐵板
FgD IcA	鐵欄
FgD ILC	鐵路
lpD ZFA	鑰匙
DaA ezB	門口
DaA ZHB	門市
DaA GLA	門徒
DaA epI	門框
DaA DGE	門楣
DaA j7B	門檻
DaA GMC	門第
DaA ILC	門路
DaA IvA	門鈴
eTA ezB	開口
eTA LpA	開場
eTA ebB	開墾
eTA aHB	開始
eTA JfB	開展
eTA DqD	開幕
eTA GvA	開庭
eTA Q1A	開心
eTA jQI	開懷
eTA OTB	開採
eTA XFA	開支
eTA IqB	開朗
eTA g8D	開業
eTA aGJ	開水
eTA lfB	開演
eTA AZD	開發
eTA CcA	開盤
eTA ehC	開竅
eTA EcI	開端
eTA eEA	開腔
eTA inI	開花
eTA afD	開設
eTA QTC	開賽
eTA CeC	開辦
eTA FAA	開通
eTA QiA	開銷
eTA IlA	開鑼
eTA DaA	開門
eTA ecL	開闊
eTA ddI	開關
eTA CuT	開闢
eTA GzA	開頭
deA jnC	閒暇
deA G3A	閒談
deC jxL	間或
deC N4D	間接
deC iZD	間歇
deC G5D	間諜
deC dtD	間隔
dqD IzA	閣樓
lfL IvD	閱歷
lfL I3B	閱覽
lfL GAD	閱讀
ecL CfH	闊別
ecL YpD	闊綽
ddI jLA	關乎
ddI dMC	關係
ddI NHB	關子
ddI Q1A	關心
ddI hTC	關愛
ddI jQI	關懷
ddI XKC	關注
ddI aNK	關稅
ddI NgD	關節
ddI IfA	關連
ddI DaA	關門
YfB DsA	闡明
YfB bVL	闡述
YfB auD	闡釋
SJB IwD	阻力
SJB gTC	阻礙
SJB dtD	阻隔
hlA lGA	阿姨
CKC ffF	附件
CKC dnA	附加
CKC LpD	附着
CKC afD	附設
CKC fYB	附近
IzC R1D	陋習
DrD VsA	陌生
DrD ILC	陌路
dEC IqD	降落
jeB dnC	限價
jeB XNC	限制
jeB fHA	限期
EzB OiC	陡峭
kfK jjC	院校
LVC GGC	陣地
LVC lDA	陣容
CSA GAA	陪同
CSA NqC	陪葬
CSA TWC	陪襯
h1E hsB	陰影
h1E QuC	陰性
h1E IvD	陰曆
h1E L1A	陰沉
h1E DyA	陰謀
h1E lpA	陰陽
h1E i4F	陰險
IwA kZI	陵園
IwA DLC	陵墓
j6C c1D	陷入
j6C PuB	陷阱
IBD GGC	陸地
IBD RDD	陸續
IBD ILC	陸路
IBD dXI	陸軍
lpA QcB	陽傘
lpA dqI	陽光
lpA dqA	陽剛
lpA QuC	陽性
lpA IvD	陽曆
lpA GTA	陽臺
GSK gLB	隊伍
GSK kyB	隊友
dQA PxA	階層
dQA FMA	階梯
dQA GcK	階段
dQA d1H	階級
dtD AvD	隔壁
dtD loC	隔夜
dtD h1E	隔音
RGK GkB	隧道
RFI NwD	隨即
RFI hHC	隨意
RFI ZHA	隨時
RFI aVA	隨身
i4F QVK	險峻
IMC aJA	隸書
NpD AdA	雀斑
NpD lpD	雀躍
kBA kIJ	雄偉
kBA fZC	雄健
kBA Q1A	雄心
kBA QuC	雄性
kBA dJC	雄踞
gnB JGC	雅致
P1D JBA	集中
P1D GcI	集團
P1D ZHB	集市
P1D dgD	集結
P1D iXK	集訓
P1D NGA	集資
P1D FMB	集體
PfJ ksJ	雋永
OFA QuC	雌性
EhA RpB	雕像
EhA exD	雕刻
EhA QLC	雕塑
EhA JED	雕琢
EhA awD	雕飾
QGI cfA	雖然
VEA ipC	雙向
VEA luA	雙贏
VEA AgA	雙邊
UKA jvA	雛形
P2D IcK	雜亂
P2D DKC	雜務
P2D fFF	雜技
P2D DXD	雜物
P2D XHC	雜誌
P2D ilK	雜貨
dMA cBD	雞肉
dMA IxD	雞肋
QfL IGA	雪梨
QfL CrD	雪白
QfL inI	雪花
kXI PxA	雲層
kXI FMA	雲梯
kXI P1D	雲集
ISI GAA	雷同
GgC QVC	電信/電訊
GgC IwD	電力
GgC GAB	電動
GgC eGG	電器
GgC AkC	電報
GgC h7D	電壓
GgC NHB	電子
GgC hsB	電影
GgC FMA	電梯
GgC LFA	電池
GgC AlA	電波
GgC IyA	電流
GgC gZI	電源
GgC ExA	電燈
GgC DpB	電網
GgC QfC	電線
GgC I3C	電纜
GgC HkB	電腦
GgC GTA	電臺
GgC jRK	電話
GgC ILC	電路
GgC IvA	電鈴
GgC SJB	電阻
QKA fyA	需求
XVC GAB	震動
XVC X4D	震懾
XVC j2B	震撼
XVC dsA	震驚
iqL IcK	霍亂
iqL cfA	霍然
VpA inI	霜花
ILC FgA	露天
ILC aGJ	露水
ILC luI	露營
ILC GTA	露臺
ILC daL	露骨
AnC XKB	霸主
IvA kGK	靈位
IvA dqI	靈光
IvA QuC	靈性
IvA d2B	靈感
IvA DVF	靈敏
IvA dIA	靈機
IvA XHA	靈芝
IvA g4G	靈驗
PuB FTC	靜態
PuB XHB	靜止
PuB GgC	靜電
AIA C9A	非凡
AIA ZpA	非常
AIA A9D	非法
DfC LHC	面值
DfC fKC	面具
DfC PgA	面前
DfC eAB	面孔
DfC DBD	面目
DfC QpC	面相
DfC VnA	面紗
DfC JjC	面罩
DfC VwD	面色
DfC aHC	面試
DfC G3A	面談
DfC DjC	面貌
DfC d5D	面頰
DfC grD	面額
FgB FgB	靦腆
dtD DsC	革命
dtD QVA	革新
dtD XwD	革職
dDB dLC	鞏固
AfA NHB	鞭子
AfA BjC	鞭炮
cVC EOC	韌帶
dyB OTC	韭菜
h1E gED	音樂
h1E CKA	音符
h1E NgD	音節
h1E VwD	音色
h1E dQA	音階
h1E kXK	音韻
h1E ipB	音響
kXK DIC	韻味
kXK IVL	韻律
ipB hwC	響應
ipB auA	響聲
EvB IzA	頂樓
EvB EcI	頂端
EvB d1H	頂級
EvB E5B	頂點
jEB DBD	項目
bVK IGC	順利
bVK aNC	順勢
bVK dsB	順境
bVK RJB	順序
bVK hwC	順應
bVK ayB	順手
bVK KpC	順暢
bVK GkB	順道
lJC CGG	預備
lJC AkC	預報
lJC GvC	預定
lJC d2B	預感
lJC fHA	預期
lJC TwD	預測
lJC elI	預科
lJC QcJ	預算
lJC R1D	預習
lJC gZA	預言
lJC dMC	預計
lJC DyA	預謀
lJC dsB	預警
gdI IfL	頑劣
gdI fpA	頑強
gdI PVD	頑疾
EaK ZHA	頓時
IuB kwL	領域
IuB GkC	領導
IuB EOC	領帶
IuB gLC	領悟
IuB IpD	領略
IuB jqA	領航
IuB RyC	領袖
IuB dXI	領軍
IuB GSK	領隊
GzA kXK	頭暈
GzA GhA	頭條
GzA GCA	頭疼
GzA FAC	頭痛
GzA CFE	頭皮
GzA ExB	頭等
GzA RJB	頭緒
GzA HkB	頭腦
GzA j7A	頭銜
GzA EvB	頭頂
GzA AZD	頭髮
CVA IVL	頻率
CVA GkB	頻道
elJ I1D	顆粒
grD gOK	額外
grD GzA	額頭
gdA VwD	顏色
gZK hHC	願意
IGK RHB	類似
IGK CfH	類別
IGK jvA	類型
dLC f1H	顧及
dLC DXC	顧問
dLC erD	顧客
dLC fHC	顧忌
dLC IJC	顧慮
XfC GAB	顫動
XfC EzB	顫抖
igB ExD	顯得
igB cfA	顯然
igB jgC	顯現
igB geB	顯眼
igB irD	顯赫
igB ILC	顯露
AIA FgA	飛天
AIA eRK	飛快
AIA lpA	飛揚
AIA dIA	飛機
AIA RpA	飛翔
AIA DKB	飛舞
AIA bfI	飛船
AIA lpD	飛躍
AIA EhB	飛鳥
dGE glC	飢餓
AjB ZyB	飽受
AjB jED	飽學
AjB DcB	飽滿
AjB I3B	飽覽
awD B1F	飾品
awD lfB	飾演
awD DXD	飾物
OcA fKC	餐具
OcA dVE	餐巾
OcA FvA	餐廳
OcA JED	餐桌
OcA dcK	餐館
OcA E5B	餐點
lJA dqI	餘光
lJA GGC	餘地
lJA kXK	餘韻
lJA grD	餘額
jaI GaI	餛飩
DcA GzA	饅頭
fGO PxC	饋贈
ipA DIC	香味
ipA AVA	香檳
ipA aGJ	香水
ipA ilJ	香火
ipA ILA	香爐
ipA BgC	香片
ipA G5A	香甜
ipA OkB	香草
ipA NiA	香蕉
ipA ZVI	香醇
DnB BVD	馬匹
DnB bVL	馬術
DnB ILC	馬路
DnB YoA	馬車
LFA DuQ	馳名
LFA KuB	馳騁
RVI CBD	馴服
AED jSI	駁回
AED YuD	駁斥
JKC dXI	駐軍
dnC gJC	駕馭
dnC VHB	駕駛
jQB erD	駭客
IqD GlA	駱駝
NVK DnB	駿馬
GxA AIA	騰飛
QkA IcK	騷亂
QkA GAB	騷動
QkA ciB	騷擾
DrD GGC	驀地
DrD cfA	驀然
diE cVA	驕人
diE gkC	驕傲
g4G XwC	驗證
dsA cVA	驚人
dsA iLA	驚呼
dsA iHB	驚喜
dsA jqI	驚惶
dsA gqD	驚愕
dsA lHC	驚異
dsA gnC	驚訝
dsA i4F	驚險
UyC cfA	驟然
daL dcC	骨幹
daL dnC	骨架
daL iSI	骨灰
daL IAD	骨碌
daL elI	骨科
daL GzA	骨頭
daL drD	骨骼
daL QFJ	骨髓
jQA daL	骸骨
FMB XNC	體制
FMB IwD	體力
FMB DIC	體味
FMB jvA	體型/體形
FMB TeD	體察
FMB cpD	體弱
FMB QVL	體恤
FMB FTC	體態
FMB luD	體液
FMB haI	體溫
FMB jgC	體現
FMB jMC	體系
FMB lBD	體育
FMB g4G	體驗
dkA jjC	高校
AZD jvA	髮型
AZD awD	髮式
EzC StA	鬥爭
EzC gyA	鬥牛
hXL dgD	鬱結
dIJ NHB	鬼子
dIJ dQK	鬼怪
dIJ DGG	鬼魅
DGG IwD	魅力
DGG jxL	魅惑
DlA IwD	魔力
DlA jeK	魔幻
DlA A9D	魔法
DlA bVL	魔術
gJA jEA	魚缸
gJA aFC	魚翅
gJA cHC	魚餌
gJA IVA	魚鱗
CjB gJA	鮑魚
IHB gJA	鯉魚
VnA gJA	鯊魚
EhB e3C	鳥瞰
CBC IGA	鳳梨
hnA BgC	鴉片
hZI hpA	鴛鴦
d2D NHB	鴿子
glA dcA	鵝肝
htA DKB	鸚鵡
j6A gJA	鹹魚
IAD cDA	鹿茸
fHA IVA	麒麟
DgC AjA	麵包
DgC AXB	麵粉
DnA CZA	麻煩
DnA XVB	麻疹
DnA NGK	麻醉
jqI iaI	黃昏
jqI VwD	黃色
jqI GzC	黃豆
jqI d1E	黃金
IMA DsA	黎明
IMA DVA	黎民
M4A luD	黏液
ixD cVA	黑人
ixD loC	黑夜
ixD h2C	黑暗
ixD AdB	黑板
ixD CrD	黑白
ixD DnB	黑馬
DxD hTA	默哀
DxD QoB	默寫
DxD aJA	默書
DxD cfA	默然
DxD iJB	默許
DxD DxD	默默
h0B ixD	黝黑
E5B Q1A	點心
E5B dvD	點擊
E5B EvD	點滴
E5B cfA	點燃
E5B fyA	點球
E5B GzA	點頭
EqB kXI	黨員
EqB eSI	黨魁
h6B cfA	黯然
EvB IwD	鼎力
CGC NHB	鼻子
CGC eAB	鼻孔
IDA NuB	龍井
IDA XyA	龍舟
IDA jnA	龍蝦
IDA DaA	龍門
IDA GzA	龍頭
IDA CBC	龍鳳
hVD jnB NHB	一下子
hVD ezB eIC	一口氣
hVD eSK cFA	一塊兒
hVD jOK cFA	一會兒
hVD GhA IDA	一條龍
hVD ASC NHB	一輩子
hVD E5B cFA	一點兒
Q3A dED jvA	三角形
JBA jED VsA	中學生
XKB cVA dAA	主人公
XKB LHA cVA	主持人
cGC IyA NHB	二流子
hnC cfD EOC	亞熱帶
djA luD VJB	交易所
djA luD grD	交易額
cVA PuA DIC	人情味
cVA DVA CNC	人民幣
GTC IHB cVA	代理人
GTC gZA cVA	代言人
djB djB XoB	佼佼者
AkB XwC d1E	保證金
AkB IvA fyA	保齡球
QVC lDC XwC	信用證
GvA dIA CsA	停機坪
LfI djC UHB	傳教士
gZI QiA NgD	元宵節
DfF luL IwD	免疫力
PfI ApA kGK	全方位
PfI cVD XNC	全日制
PfI fyA inK	全球化
AeD dlA cFA	八哥兒
dAA DKC kXI	公務員
dAA awD inK	公式化
dAA kyB XNC	公有制
dAA huT d1E	公益金
dAA XwC cVA	公證人
dAA eTA QVC	公開信
dAA eTA QTC	公開賽
AxD fwD kBA	北極熊
Z1D PHC dnC	十字架
AcC GkC FMB	半導體
j5D NzC eDD	協奏曲
AqD DXD dcK	博物館
hVC AiF dIA	印表機
ezB ABA f1E	口風琴
ezB ipA GqA	口香糖
dhC inK NHB	叫化子
dVD RpA DXD	吉祥物
GAA QuC IfK	同性戀
iLA i1H GkB	呼吸道
JfD jED dnA	哲學家
ZyC ilK kXI	售貨員
dxL DKC esA	國務卿
dxL NNC inK	國際化
kfI DKB eDD	圓舞曲
GLA aJA dcK	圖書館
GGC FgD J6C	地鐵站
dHA AaB dAA	基本功
dHA AaB A9D	基本法
dHA ECD djC	基督教
h7D QNK PfA	壓歲錢
gOK dxL cVA	外國人
gOK QvA cVA	外星人
gOK NLB DzB	外祖母
ElA gZI inK	多元化
ElA DSA FMB	多媒體
FgA XKB djC	天主教
FgA inI AdB	天花板
FOC fwD ffM	太極拳
FOC eAA cVA	太空人
FOC lpA jMC	太陽系
NzC DsA eDD	奏鳴曲
PHC F5D cFA	字帖兒
kKB jqA kXI	宇航員
hcA PfI EOC	安全帶
hcA PfI d2B	安全感
hcA QwD cVD	安息日
hcA DgA lpD	安眠藥
dnA ZpA OTC	家常菜
QoB PHC IzA	寫字樓
XfI IGC ffM	專利權
ESK dEB dIA	對講機
QiB jTA cFA	小孩兒
QiB jED VsA	小學生
QiB CxA kyB	小朋友
JfB I3B dcK	展覽館
dAA apA g8D	工商業
dAA g8D inK	工業化
dAA LuA VGA	工程師
HgA GzA cFA	年頭兒
jeK ExA BgC	幻燈片
h0C LGC kZI	幼稚園
dZC JBD VGA	建築師
dZC JBD DXD	建築物
hsB hVC dIA	影印機
IVL XuC QHA	律政司
DIA VsA DXD	微生物
Q1A IHB jED	心理學
AVD QKA B1F	必需品
OiB OiB jRK	悄悄話
PuA cVA NgD	情人節
QpB RpB IwD	想像力
DdC lyA lyA	慢悠悠
IcB lpA lpA	懶洋洋
ZuA kXI dxL	成員國
ZuA HgA cVA	成年人
dQC GCD VJB	戒毒所
VJB kyB XNC	所有制
ayB dAA gNC	手工藝
BMA AZD dnC	批發價
fFF bVL kXI	技術員
eqC lpD QuC	抗藥性
FlC I2D dIA	拖拉機
XGB iII dnA	指揮家
lpA auA eGG	揚聲器
jqK h1E eGG	擴音器
APB dnC NHB	擺架子
DXA SyC SyC	文縐縐
AdA DnB QfC	斑馬線
cVD dqI lDD	日光浴
cVD dqI ExA	日光燈
BLB FAA A9D	普通法
BLB FAA jRK	普通話
CkC ABA kKB	暴風雨
CBD DKC kXI	服務員
dbA dJC GGC	根據地
dIA eGG cVA	機器人
dIA jQC inK	機械化
d4F TeD dcI	檢察官
MrB DAA LnA	檸檬茶
fGO kXI dIA	櫃員機
dlA YpC dnA	歌唱家
XHB FAC lpD	止痛藥
IvD VHB QuC	歷史性
ZwD DVA GGC	殖民地
AVC gFE dcK	殯儀館
aGJ IDA GzA	水龍頭
iTB gcC QfC	海岸線
jaJ cVD NHB	混日子
OuA DsA NgD	清明節
iSI DAA DAA	灰蒙蒙
hLA IDA LnA	烏龍茶
DKA DuQ XGB	無名指
DKA VJB kIK	無所謂
DKA QfC GgC	無線電
DKA inI dlJ	無花果
gnA XyA CsC	牙周病
GAD DAD XyA	獨木舟
GAD dED ayC	獨角獸
jgC GTC inK	現代化
d7D daL DXA	甲骨文
H2A NHB icC	男子漢
H2A jTA cFA	男孩兒
CsC gZI FMB	病原體
AZD GAB dIA	發動機
AZD JfB apA	發展商
AZD gZI GGC	發源地
AZD IkA QkA	發牢騷
AZD RpA GGC	發祥地
AZD gZA cVA	發言人
AZD gZA ffM	發言權
AZD GgC dIA	發電機
CrD DAD cHB	白木耳
CrD cfD inK	白熱化
CrD CFE aJA	白皮書
CrD DqA DqA	白茫茫
CrD IcA GGC	白蘭地
CrD igL fyA	白血球
CrD igL CsC	白血病
CrD jRK DXA	白話文
DBD EvD GGC	目的地
LwD awA dIA	直升機
LwD IyC IyC	直溜溜
geB XKA NHB	眼珠子
ggC dyC kXI	研究員
BlC FgA iqI	破天荒
drJ PfI aGJ	礦泉水
QGA kyB inK	私有化
elI jED dnA	科學家
EcI gLB NgD	端午節
fsC StA IwD	競爭力
AVH dHC AaB	筆記本
NuA bVA CsC	精神病
GqA HhC CsC	糖尿病
dHB H5C B1F	紀念品
dHB H5C cVD	紀念日
dHB H5C AFE	紀念碑
dHB H5C dcK	紀念館
jAA igL fyA	紅血球
H2D DaC cFA	納悶兒
NFB gOK QfC	紫外線
XBA EcI dIA	終端機
lGI FlA DsC	維他命
dMC ZwA cVA	繼承人
dMC ZwA ffM	繼承權
Q4A lGI QLC	纖維素
IkB cVA dnA	老人家
IkB FOC FOC	老太太
IkB HgA cVA	老年人
IkB ArD QuC	老百姓
IkB GzA cFA	老頭兒
IkB GzA NHB	老頭子
ekB dLB jED	考古學
IhA FgA cFA	聊天兒
XwD g8D CsC	職業病
jLA NiA AXB	胡椒粉
jLA IlA CxD	胡蘿蔔
E3B dLC ZVI	膽固醇
PGC QVC Q1A	自信心
PGC UJC OcA	自助餐
PGC GAB inK	自動化
PGC cfA dQC	自然界
PGC jrA YoA	自行車
jqA iTB dnA	航海家
XHA DnA NpC	芝麻醬
AnA ISJ DKB	芭蕾舞
I3A LyA dLB	藍籌股
gNC bVL B1F	藝術品
gNC bVL dnA	藝術家
igL kyB CsC	血友病
igL QiB AdB	血小板
igL I1A I1A	血淋淋
dFI C9B inK	規範化
afD dMC VGA	設計師
iJB elB XwC	許可證
aHC lDC fHA	試用期
aHC d1E ZuD	試金石
GAD aJA cVA	讀書人
AfG GgC J6C	變電站
GzC CKB cKB	豆腐乳
CyB StD cVA	負責人
DPC ddI NHB	賣關子
eHB QLC aJA	起訴書
CKB GkC kXI	輔導員
CeC dAA aVD	辦公室
CfF jLC cVA	辯護人
GvD UHB MGA	迪士尼
FSK iyA d1E	退休金
FAA Q1A AXB	通心粉
NVC ezB apA	進口商
kXK GAB kXI	運動員
kXK GAB LpA	運動場
kXK GAB CBD	運動服
QcI IyC IyC	酸溜溜
YyB AeD dQK	醜八怪
IHB LuA AFE	里程碑
d1E PHC F3D	金字塔
dqA f1E dnA	鋼琴家
eTA LpA CrD	開場白
eTA Q1A dlJ	開心果
eTA AZD apA	開發商
CKC dnA LHC	附加值
CSA a1B kXI	陪審員
CSA a1B GcI	陪審團
P1D SpA QpA	集裝箱
dMA DIB NyB	雞尾酒
GgC NHB f1E	電子琴
GgC hsB NgD	電影節
GgC eIC inK	電氣化
GgC jRK QfC	電話線
PuB OiB OiB	靜悄悄
EvB dLA dLA	頂呱呱
igB DIA dsC	顯微鏡
DnB I2D RDA	馬拉松
FMB haI dMC	體溫計
AZD jvA VGA	髮型師
dIJ DaA ddI	鬼門關
DlA bVL VGA	魔術師
gJA NHB NpC	魚子醬
DtD gnA GqA	麥芽糖
DnA NGK lpD	麻醉藥
hVD IkA ksJ lVD	一勞永逸
hVD iLA ArD hwC	一呼百應
hVD C9A ABA bVK	一帆風順
hVD QpA PuA gZK	一廂情願
hVD QkB cHA eAA	一掃而空
hVD cVD OgA IHB	一日千里
hVD JiA hVD RuD	一朝一夕
hVD XFA GAD QyC	一枝獨秀
hVD OuA cGC TJC	一清二楚
hVD DKA VJB kyB	一無所有
hVD DBD IhB cfA	一目了然
hVD dJB IpB ExD	一舉兩得
hVD dgC cJA dLC	一見如故
hVD YDD NwD AZD	一觸即發
hVD GzA DKC aGJ	一頭霧水
IcK OVD AeD NkA	亂七八糟
gLB inI AeD DaA	五花八門
NuB NuB kyB GhA	井井有條
luD CLC luD OKA	亦步亦趨
cVA ffH GGC IvA	人傑地靈
cVA VeA cVA iTB	人山人海
RHB ZFB cHA AIA	似是而非
AKB Z1D dQA ZFB	俯拾皆是
dnC I4A DXD DGF	價廉物美
c1D ipA RFI RDD	入鄉隨俗
PfI IwD lHB BKC	全力以赴
PfI Q1A PfI hHC	全心全意
NTC N4D NTC INC	再接再厲
